,scores,common_scores,info,link
"Молоко ""Дмитрогорский продукт"" 3,2% пастеризованное",[],0,"По проверенным микробиологическим показателям молоко ""Дмитрогорский продукт"" соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены. Образец имеет явные признаки недоброкачественности: посторонний неприятный (полимерный) запах и привкус. Фактов недостоверной маркировки не выявлено (кроме несоответствия органолептических показателей стандарту, указанному в маркировке - ГОСТ 31450-2013).Молоко прошло щадящую температурную обработку (лактулоза отсутствует).",https://roscontrol.com//product/dmitrogorskiy-produkt-32-pasterizovannoe/
"Молоко ""Торговый дом Сметанин"" 3,2% пастеризованное",[],0,"По проверенным физико-химическим и микробиологическим показателям молоко ""Торговый дом Сметанин"" соответствует требованиям безопасности. Консерванты и антибиотики не обнаружены.Образец не соответствует заявленным в маркировке характеристикам - выявлены признаки фальсификации. Выявлено присутствие в образце фитостеринов — признак добавленного немолочного (растительного) жира. Массовая доля жира на 0,7±0,1% абс. меньше указанной в маркировке. Массовая доля белка не соответствует стандарту, указанному в маркировке (его меньше). Образец имеет низкую кислотность, не характерную для натурального молока, и относительно высокое содержание фосфатов — не исключено их добавление в качестве стабилизатора.Оценка на соответствие ГОСТ 31450-2013 невозможна ввиду того, что образец не является питьевым молоком.Молоко имеет хорошие органолептические показатели. Прошло щадящую температурную обработку (лактулоза отсутствует).",https://roscontrol.com//product/torgoviy-dom-smetanin-32-pasterizovannoe/
"Молоко ""Вологодское"" ультрапастеризованное 3,2%",[],0,"По проверенным показателям образец не соответствует ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств», так как в образце обнаружено превышение максимального уровня фосфорной кислоты и пищевых фосфатов. Количество фосфатов на 84% выше допустимого уровня содержания в продукции (максимальный уровень в продукции фосфорной кислоты и пищевых фосфатов — 1 г/л, при этом инструментально определено 1,84 г/л).Маркировка образца признана не достоверной: в составе продукта заявлено только нормализованное молоко, при этом инструментально выявлено наличие добавленных сверх нормативных значений фосфатов.Продукт изготовлен по техническим условиям, однако он отвечает требованиям к качеству питьевого молока, предъявляемым ТР ТС 033/2013 и ГОСТ 31450-2013. Кроме того, образец имеет удовлетворительные органолептические свойства. Внешний вид и консистенция: однородная, непрозрачная, нетягучая жидкость, без наличия хлопьев белка и сбившихся комочков жира. Вкус и запах: характерные для молока, без посторонних привкусов и запахов, с легким привкусом кипячения, сладковатым привкусом. Цвет: белый, равномерный по всей массе.Достоинствами образца являются:- высокое содержание белка — 3,4% (хотя в маркировке указано 3,0%);- высокое содержание СОМО (сухого обезжиренного молочного остатка) — 9,0% (в соответствии с ТР ТС 033/2013 «О безопасности молока и молочной продукции» СОМО в питьевом молоке должно быть не менее 8%, по ГОСТ 31450 Молоко питьевое. Технические условия — 8,2%);- консервантов (сорбиновой и бензойной кислот) не обнаружено;- в продукте присутствует только молочный жир, признаков фальсификации молочного жира с помощью растительных масел не выявлено;- микотоксинов и антибиотиков не обнаружено;- содержание лактулозы 0,65 мг/100 см — это наименьшее значение, если сравнивать с данными по другим исследованным образцам. Можно заключить, что температурная обработка данного образца была достаточно щадящей.Кислотность продукта 13,9°T, что ниже (на 2,1°T) порога нормальной кислотности молока-сырья и молока, подвергнутого высокотемпературной обработке (16°T -21°T). Это может говорить об изменении солевого состава молока, например, с помощью пищевых фосфатов. Однако в составе продукта указано только нормализованное молоко.",https://roscontrol.com//product/moloko-vologodskoe-ultrapasterizovannoe-32/
"Молоко ""То, что надо"" ультрапастеризованное 3,2%",[],0,"По проверенным показателям образец не соответствует ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств», так как в образце обнаружено превышение максимального уровня фосфорной кислоты и пищевых фосфатов. Количество фосфатов на 98% выше допустимого уровня содержания в продукции (максимальный уровень в продукции фосфорной кислоты и пищевых фосфатов — 1 г/л, при этом инструментально определено 1,98 г/л). А так же образец не соответствует ТР ТС 033/2013, так как содержит консервант — сорбиновую кислоту, что недопустимо для продукции данного вида.Маркировка образца признана недостоверной: так как содержит консервант и добавленные сверх нормативных значений фосфаты, не указанные в составе продукта.Продукт не отвечает требованиям к качеству питьевого молока, предъявляемым ТР ТС 033/2013 и ГОСТ 31450-2013. Кроме того, образец имеет удовлетворительные органолептические свойства. Внешний вид и консистенция: однородная, непрозрачная, нетягучая жидкость, без наличия хлопьев белка и сбившихся комочков жира. Вкус и запах: характерные для молока, без посторонних привкусов и запахов, с легким привкусом кипячения, сладковатым привкусом. Цвет: белый, равномерный по всей массе.Достоинствами образца являются:- в продукте присутствует только молочный жир, признаков фальсификации молочного жира с помощью растительных масел не выявлено;- содержание лактулозы 0,77 мг/100 см — это одно из наименьших значений, если сравнивать с данными по другим исследованным образцам. Можно заключить, что температурная обработка данного образца была достаточно щадящей. - микотоксинов и антибиотиков не обнаружено.Кислотность продукта 12,4 °T, что намного ниже (на 3,6 °T) порога нормальной кислотности молока-сырья и молока, подвергнутого высокотемпературной обработке (16°T -21°T). Это может говорить о фальсификации молока, о его «раскислении».",https://roscontrol.com//product/moloko-to-chto-nado-ultrapasterizovannoe-32/
"Молоко ""Белый Город"" ультрапастеризованное 3,2%",[],0,"По проверенным показателям образец не соответствует ТР ТС 029/2012 «Требования безопасности пищевых добавок, ароматизаторов и технологических вспомогательных средств», так как в образце обнаружено превышение максимального уровня фосфорной кислоты и пищевых фосфатов. Количество фосфатов на 85% выше допустимого уровня содержания в продукции (максимальный уровень в продукции фосфорной кислоты и пищевых фосфатов — 1 г/л, при этом инструментально определено 1,85 г/л).Маркировка образца признана недостоверной: в составе продукта заявлено только нормализованное молоко, при этом инструментально выявлено наличие добавленных сверх нормативных значений фосфатов.Продукт отвечает требованиям к качеству питьевого молока, предъявляемым ТР ТС 033/2013 и ГОСТ 31450-2013. Кроме того, образец имеет удовлетворительные органолептические свойства. Внешний вид и консистенция: однородная, непрозрачная, нетягучая жидкость, без наличия хлопьев белка и сбившихся комочков жира. Вкус и запах: характерные для молока, без посторонних привкусов и запахов, с легким привкусом кипячения, сладковатым привкусом. Цвет: белый, равномерный по всей массе.Достоинствами образца являются:- точное соответствие указанного на этикетке содержания белков, жиров и углеводов фактически определенному уровню;- консервантов: сорбиновой и бензойной кислот не обнаружено;- в продукте присутствует только молочный жир, признаков фальсификации молочного жира с помощью растительных масел не выявлено;- микотоксинов и антибиотиков не обнаружено.Кислотность продукта 13,4 °T, что значительно ниже порога нормальной кислотности молока-сырья и молока, подвергнутого высокотемпературной обработке (16°T -21°T). Это может говорить об изменении солевого состава молока, например, с помощью пищевых фосфатов. Однако в составе продукта указано только нормализованное молоко. Выявлено высокое содержание лактулозы (1,49 мг/100 см) — это в 2,3 раза больше минимального значения (0,65 мг/100 см), полученного по другим образцам. Лактулоза образуется при изомеризации лактозы под действием высокотемпературной обработки. Высокое содержание лактулозы в питьевом молоке может говорить о многократной и/или чрезмерной температурной обработке молока в процессе его переработки.",https://roscontrol.com//product/moloko-beliy-gorod-ultrapasterizovannoe-32/
"Молоко ""Милава"" 3,2% пастеризованное",[],0,"В молоке «Милава» производства Республики Беларусь выявлены нарушения требований безопасности. Лабораторное исследование выявило превышение допустимых норм содержания микробов в 2,2 раза (220000 КОЕ/г).Продукт, изготовленный по белорусской технической инструкции ТИ BY 400068171.049, не соответствует требованиям безопасности и ГОСТ Р 52090-2003, что послужило основанием для его внесения в черный список.При употреблении данного продукта существует умеренный риск в отношении здоровья потребителей. Консерванты в составе продукта не обнаружены.",https://roscontrol.com//product/milava-3-2-pastierizovannoie/
"Молоко ""Тевье молочник"" 3,4-4,0% пастеризованное",[],0,"В молоке «Тевье молочник» выявлены нарушения требований безопасности. Лабораторное исследование выявило превышение допустимых норм содержания микробов в 1,8 раза (180000 КОЕ/г). Продукт не соответствует требованиям безопасности и ГОСТ Р 52090-2003.При употреблении данного продукта существует умеренный риск в отношении здоровья потребителей. Консерванты в составе продукта не обнаружены.",https://roscontrol.com//product/teve-molochnik-34-40-pasterizovannoe-tselnoe/
"Молоко ""Молоко нашей дойки"" 3,5% пастеризованное",[],0,"Масса нетто продукта торговой марки «Молоко нашей дойки» оказалась значительно ниже допустимых значений по ГОСТ 8.579-2002 ГСИ «Требования к количеству фасованных товаров в упаковках любого вида при их производстве, расфасовке, продаже и импорте». При максимальном отклонении в 1,5% на 1 литр, то есть 15 мл, производитель «недолил» в упаковку 45 мл. Это может квалифицироваться как количественная фальсификация, что и послужило основанием для внесения продукта в черный список.Вкус характерный для молока с легким привкусом кипячения, без посторонних запахов и привкусов. Показатели плотности, жирности и кислотности этого продукта соответствуют допустимым значениям.Консервантов в нем тоже нет. Молоко соответствует всем требованиям безопасности. Бактерии группы кишечной палочки, патогенные микроорганизмы (сальмонеллы), стафилококки (S. аureus), листерии (L. Monocytogenes) в образце не обнаружены.",https://roscontrol.com//product/moloko-nashey-doyki-35-tselnoe/
"Молоко ""Свитлогорье"" 3,2% пастеризованное",[],0,"Молоко ""Свитлогорье"" производится в Республике Беларусь по ТУ изготовителя.При оценке органолептических показателей выявлено, что этот продукт не соответствует требованиям качества: кислый вкус, консистенция тягучая, запах прокисшего молока. Согласно ст. 3 Федерального закона «О качестве и безопасности пищевых продуктов» от 02.01.2000 № 29-ФЗ реализация продукции с явными признаками недоброкачественности запрещена.Лабораторные испытания подтвердили, что продукт испорчен: уровень титруемой кислотности оказался выше нормы (23,2°T при норме до 21).Срок годности молока ""Свитлогорье"" превышает рекомендуемый для пастеризованного молока в 3 раза (9 суток при рекомендуемом 3 суток). Производитель вправе устанавливать сроки хранения больше рекомендуемых, если он может гарантировать безопасность продукта на протяжении всего срока годности. Как показала наша экспертиза, в данном случае продукт испортился раньше, чем вышел установленный изготовителем срок годности.Образцы для проведения испытаний были закуплены в сетевом супермаркете г. Москвы, срок годности продукта не истек, молоко перевозили в специальном термоконтейнере, вероятность порчи молока после его закупки исключается.",https://roscontrol.com//product/svitlogore-32-pasterizovannoe/
"Молоко ""Молти"" 3,2% пастеризованное",[],0,"Продукт ""Молти"" изготовлен в Московской области. В маркировке указано, что он должен соответствовать ГОСТ Р 52090-2003 «Молоко питьевое и напиток молочный. Технические условия» (с Изменением N 1).При экспертизе выявлено, что продукт не соответствует ГОСТу по качеству. В составе образца обнаружены фитостерины, что говорит о добавлении жира немолочного происхождения и расценивается как фальсификация, поскольку в продуктах животного происхождения растительных жиров быть не может (ст. 25, п.8, п.п. 2 №88-ФЗ «Технический регламент на молоко и молочную продукцию», ГОСТ Р 52738-2007 «Молоко и продукты переработки молока. Термины и определения». МУ 4.1./4.2.2484-09 «Методические указания по оценке подлинности и выявлению фальсификации молочной продукции»).Также в образце был найден консервант — сорбиновая кислота, содержание которой не допускается в молоке, кроме того, данный консервант не указан в маркировке продукта.На этикетке указано два адреса изготовителя (маркировки, где именно произведен товар, нет), неправильно обозначен режим хранения.",https://roscontrol.com//product/molti-32-pasterizovannoe/
"Молоко ""36 копеек"" 3,2% пастеризованное",[],0,"Молоко ""36 копеек"" не соответствует требованиям безопасности по микробиологическим показателям: показатель общей обсемененности мезофильной микрофлорой (КМАФАнМ) превышает допустимое значение в 76 раз.Не соответствует наименованию и составу: выявлено присутствие в образце фитостеринов — признак добавленного немолочного (растительного) жира. Не соответствует ГОСТ 31450-2013, указанного в маркировке по содержанию СОМО и белка (белка меньше на 17% отн.). Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.Образец не соответствует ГОСТ 31450-2013 по физико-химическим показателям: в образце присутствуют фитостерины — продукт не является питьевым молоком, массовая доля белка на 5% ниже предусмотренного стандартом, группа чистоты ниже I (соответствует II) Замечания по органолептическим показателям: с кормовым привкусом и запахом, без характерного для молока вкуса и запаха.Содержит не указанный в составе консервант — сорбиновую кислоту или сорбат калия — в небольшой, недействующей, концентрации (вероятно, является непреднамеренной примесью вследствие использования фальсифицированного сырья).Термоустойчивость соответствует V группе. Низкое содержание кальция по сравнению со средними значениями для данного вида продукции.Не содержит сухого молока. Низкая цена за 1 литр по сравнению со средними значениями для данного вида продукции.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/moloko-pastierizovannoie-36-kopieiek-3-2/
"Молоко ""Народное"" 3,2% пастеризованное",[],0,"Молоко пастеризованное ""Народное"" не соответствует требованиям безопасности по микробиологическим показателям: превышен показатель общей обсемененности мезофильной микрофлорой. Консерванты и антибиотики не обнаружены.Не соответствует наименованию и составу: выявлено присутствие в образце фитостеринов — признак добавленного немолочного (растительного) жира; по показателям СОМО, содержанию белка и кальция продукт не является натуральным молоком.Не соответствует заявленной жирности, а также имеет недостоверную маркировку в части указания показателей пищевой ценности: массовая доля жира на 34% и белка на 33% меньше заявленных; Не соответствует указанному в маркировке стандарту (ГОСТ 31450-2013) по показателю группы чистоты и содержанию белка.Имеет неудовлетворительные органолептические характеристики: вкус и запах невыраженные, вкус пустой, с легким солоновато-сладковатым вкусом. Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/narodnoe-32-pasterizovannoe/
"Молоко ""Молочное царство"" 3,2% пастеризованное",[],0,"Молоко ""Молочное царство"" не соответствует требованиям безопасности по показателю общей микробной обсемененности (КМАФАнМ). Консерванты и антибиотики не обнаружены. Растительные жиры не обнаружены.Образец не соответствует маркировке. Массовая доля жира на 0,7±0,1% абс. меньше указанной в маркировке. По показателю кислотности образец не соответствует указанному в маркировке стандарту. По другим физико-химическим и органолептическим показателям образец соответствует ГОСТ 31450-2013.Молоко имеет хорошие органолептические показатели.Относительно высокое содержание фосфатов на фоне относительно низкого содержания кальция и белка позволяет говорить о предположительном наличии в образце добавленных фосфатов (фосфаты не допускается добавлять в пастеризованное молоко, в маркировке образца они не указаны). Массовая доля белка — на нижнем пределе допустимых значений (с учетом погрешности метода испытаний может быть меньше).Образец имеет неудобную в использовании и ненадежную (но дешевую) упаковку ""фин-пак"" (мягкий пакет).",https://roscontrol.com//product/molochnoe-tsarstvo-32-pasterizovannoe/
Молоко Молоко пастеризованное,[],[],no info,https://roscontrol.com//product/moloko-pasterizovannoe/
"Молоко Коровка из Кореновки 2,7%",[],[],no info,https://roscontrol.com//product/korovka-iz-korenovki-2-7/
Молоко Честное коровье,[],[],no info,https://roscontrol.com//product/chestnoe-korove-moloko/
Молоко Молочная Страна,[],[],no info,https://roscontrol.com//product/molochnaia-strana/
"Молоко Молоко, 3,2%",[],[],no info,https://roscontrol.com//product/moloko/
"Молоко ""Каждый день"" 2,5% ультрапастеризованное",[],[],no info,https://roscontrol.com//product/kazhdyi-den-2-5-ul-trapasterizovannoe/
"Молоко Молоко ""Зеленый луг"" 2,5% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-zelenyi-lug-2-5-pasterizovannoe/
"Молоко ""Вкуснотеево"" 2,5% ультрапастеризованное",[],[],no info,https://roscontrol.com//product/moloko-vkusnoteevo-2-5-ul-trapasterizovannoe/
"Молоко ""Амка"" пастеризованное 3,2%",[],[],no info,https://roscontrol.com//product/amka-moloko-pit-evoe-pasterizovannoe-3-2/
"Молоко ""Пестравка"" пастеризованное 2,5%",[],[],no info,https://roscontrol.com//product/moloko-pestravka-pasterizovannoe-2-5/
"Молоко ""Первым делом"" пастеризованное 3,2%",[],[],no info,https://roscontrol.com//product/moloko-pervym-delom-pasterizovannoe-3-2/
"Молоко ""Веселый луг"" 3,2% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-veselyi-lug-3-2/
"Молоко ""Чебаркульское молоко"" 3,8% отборное",[],[],no info,https://roscontrol.com//product/chebarkul-skoe-moloko-3-8-otbornoe/
"Молоко ""МолокоВо!"" 2,5%",[],[],no info,https://roscontrol.com//product/moloko-molokovo-2-5/
"Молоко ""Правильное молоко"" Organic 3,2-4%",[],[],no info,https://roscontrol.com//product/pravil-noie-moloko-organic-3-2-4/
"Молоко ""Нежный возраст"" 3,2% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-niezhnyi-vozrast-3-2-pastierizovannoie/
"Молоко ""Домик в деревне"" Высший сорт Легкое 0,5%",[],[],no info,https://roscontrol.com//product/moloko-domik-v-dierievnie-vysshii-sort-lieghkoie-0-5/
"Молоко ""Первый вкус"" отборное 3,9%",[],[],no info,https://roscontrol.com//product/moloko-piervyi-vkus-otbornoie-3-9/
"Молоко «Клевер» 1,5 %",[],[],no info,https://roscontrol.com//product/moloko-klievier-1-5/
"Молоко ""Пискарёвское"" 2,5%",[],[],no info,https://roscontrol.com//product/moloko-piskariovskoie-2-5/
"Молоко ""Лосево"" 2,5% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-losievo-2-5/
"Молоко ""Брест-Литовск"" 2,8% ультрапастеризованное",[],[],no info,https://roscontrol.com//product/moloko-ul-trapastierizovannoie-briest-litovsk/
"Молоко ""Пискаревское"" 2,5% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-pastierizovannoie-piskarievskoie-2-5/
"Молоко ""Бежин луг"" 3,2% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-pastierizovannoie-biezhin-lugh-3-2/
"Молоко ""Отборное"" 3,5-5,2%",[],[],no info,https://roscontrol.com//product/moloko-otbornoie-3-5-5-2/
"Молоко Parmalat Dietalat 0,5%",[],[],no info,https://roscontrol.com//product/parmalat-dietalat-0-5/
"Молоко ""Вкуснотеево""",[],[],no info,https://roscontrol.com//product/vkusnotieievo/
"Молоко ""Пискаревское Особое"" 2,5%",[],[],no info,https://roscontrol.com//product/moloko-piskarievskoie-osoboie-2-5/
"Молоко ""Белое облако"" 3,2%",[],[],no info,https://roscontrol.com//product/moloko-bieloie-oblako-3-2/
"Молоко ""Молочная культура""",[],[],no info,https://roscontrol.com//product/molochnaia-kul-tura/
"Молоко ""33 коровы"" 2,5% ультрапастеризованное",[],[],no info,https://roscontrol.com//product/moloko-33-korovy-2-5/
"Молоко Parmalat 3,5% ультрапастеризованное",[],[],no info,https://roscontrol.com//product/moloko-parmalat-3-5/
"Молоко Parmalat 1, 8% ультрапастеризованное",[],[],no info,https://roscontrol.com//product/moloko-parmalat-ul-trapastierizovannoie1-8/
"Молоко ""Мещерские росы"" 3,4-6% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-otbornoie-mieshchierskiie-rosy/
"Молоко ""Д"" 3,2% пастеризованное",[],[],no info,https://roscontrol.com//product/moloko-d/
"Молоко ""Подворье"" 3,4-4% пастеризованное",[],[],no info,https://roscontrol.com//product/podvore/
"Молоко ""Полная крынка"" 2,5% ультрапастеризованное",[],[],no info,https://roscontrol.com//product/polnaya-krinka-15/
"Молоко ""Мясновъ"" 3,2% пастеризованное",[],[],no info,https://roscontrol.com//product/myasnov-32/
"Молоко ""Избенка"" 3,2% пастеризованное",[],[],no info,https://roscontrol.com//product/izbenka/
"Кефир ""Коровка из Кореновки"" отборный, 3,2-4,8%","[91, 85, 72, 83]",[83],"Кефир отборный ""Коровка из Кореновки"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Высокое содержание молочнокислых микроорганизмов и дрожжей. Не содержит немолочного жира. Не содержит крахмала и каррагинана.Образец изготовлен в соответствии с ТУ 10.51.52-014-31792271-2018, однако по проверенным органолептическим и физико-химическим показателям образец также соответствует требованиям стандарта на данный вид продукции ГОСТ 31454-2012.",https://roscontrol.com//product/kefir-korovka-iz-korenovki-otborniy-32-48/
"""Чабан"" 2,5%","[97, 75, 68, 86]",[82],"Кефир ""Чабан"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Образец не содержит немолочного жира. Не содержит крахмала и каррагинана. Высокое содержание СОМО по сравнению со средними значениями для данного вида продукции. Согласно справочным данным высокое содержание кальция.Незначительное замечание к органолептическим показателям: вкус слегка кисловатый. Содержание белка на 12 %отн. больше, чем указано в маркировке.",https://roscontrol.com//product/chaban-25/
"""Простоквашино"" 2,5%","[97, 75, 69, 77]",[80],"Кефир ""Простоквашино"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Образец не содержит немолочного жира. Не содержит крахмала и каррагинана. Высокое содержание дрожжей. Согласно справочным данным высокое содержание кальция.Незначительное замечание к органолептическим показателям: цвет кефира белый.",https://roscontrol.com//product/prostokvashino-25/
"Кефир Globus, 3,2%","[88, 80, 69, 61]",[75],"Кефир Globus соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции (или используемого сырья) добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.По органолептическим и физико-химическим показателям образец соответствует ГОСТ 31454-2012, указанному в маркировке.Образец имеет незначительные замечания к органолептическим признакам: кисломолочный вкус и запах охарактеризован как ""легкий"". Массовая доля белка несколько ниже минимально допустимой для кефира указанным в маркировке стандартом. Относительно высокое содержание этилового спирта (алкоголя) по сравнению со средними значениями для данного вида продукции.Высокое количество молочнокислых микроорганизмов. Не содержит немолочного жира. Не содержит крахмала и каррагинана. Низкая цена 1л. по сравнению со средними значениями для данного вида продукции.",https://roscontrol.com//product/kefir-globus-32/
"Кефир ""Асеньевская ферма"", 3,2%","[88, 80, 70, 77]",[79],"Кефир ""Асеньевская ферма"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции (или используемого сырья) добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.По органолептическим и физико-химическим показателям образец соответствует ГОСТ 31454-2012, указанному в маркировке.Образец имеет незначительные замечания к органолептическим признакам: кисломолочный вкус и запах охарактеризован как ""легкий"". Массовая доля белка незначительно ниже минимально допустимой для кефира указанным в маркировке стандартом. Высокая стоимость за 1 л. по сравнению со средними значениями для данного вида продукции.Высокое количество молочнокислых микроорганизмов и дрожжей. Не содержит немолочного жира. Не содержит крахмала и каррагинана.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/kefir-asenevskaya-ferma-32/
"Кефир ""Вологодское лето"", 3,2%","[88, 75, 71, 61]",[74],"Кефир ""Вологодское лето"" Соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Недостоверная маркировка в части пищевой ценности: содержание белка на 12%отн. меньше, чем заявлено в маркировке. Соотношение содержания кальция и фосфора нехарактерно для натуральных молочных продуктов (фосфора существенно больше) — вероятно наличие в составе продукции (или используемого сырья) добавленных фосфатов. Других фактов недостоверной маркировки невыявлено.По органолептическим показателям образец соответствует ГОСТ 31454-2012, указанному в маркировке. По физико-химическим показателям образец не соответствует ГОСТ 31454-2012 по массовой доле белка, его на 12%отн. меньше, чем требует стандарт.Образец имеет незначительные замечания к органолептическим признакам: кисломолочный вкус и запах охарактеризован как ""легкий"". Вероятно содержание добавленных фосфатов (не указанных в составе). Относительно высокое содержание этилового спирта (алкоголя) по сравнению со средними значениями для данного вида продукции.Не содержит немолочного жира. Высокое количество молочнокислых микроорганизмов. Не содержит крахмала и каррагинана.",https://roscontrol.com//product/kefir-vologodskoe-leto-32/
"Кефир "" Наша семья/Лакомо"", 3,2%","[94, 80, 73, 78]",[81],"Кефир ""Лакомо / Наша семья"" соответствует требованиям безопасности по проверенным микробиологическим и физико-химическим показателям.Не соответсвует наименованию ""кефир"" согласно ГОСТ 31454 по показателю ""титруемая кислотность"".Согласно идентификационным признакам кефира в ТР ТС 033/2013 соответствует наименованию ""кефир"". Имеет небольшое замечание по органолептическим показателям: вкус слегка кислотватый.Образец не содержит немолочного жира. Не содержит крахмала и каррагинана. Низкая стоимость. Низкое содержание кальция.Протоколы предыдущих испытаний смотрите здесь.",https://roscontrol.com//product/kefir-nasha-semya-lakomo/
